"","Player","Team","Season","Position","Minutes","Shots","SoT","G","xG","xPlace","G-xG","KeyP","A","xA","A-xA","xG+xA","PA","xPA"
"","Theo Bair","VAN","2020","ST","530","6","3","1","0.79","0.36","0.21","1","0","0.11","-0.11","0.89","0.54","0.71"
"","Donny Toia","RSL","2020","FB","1806","7","0","0","0.44","-0.44","-0.44","9","0","0.45","-0.45","0.89","0.00","0.24"
"","Jonathan Mensah","CLB","2020","CB","2277","10","4","0","0.89","0.64","-0.89","0","0","0.00","0.00","0.89","0.00","0.54"
"","Anthony Jackson-Hamel","MTL","2020","ST","240","8","2","0","0.66","-0.43","-0.66","1","0","0.23","-0.23","0.89","0.00","0.50"
"","Tosaint Ricketts","VAN","2020","ST","543","5","2","2","0.89","0.47","1.11","0","0","0.00","0.00","0.89","1.83","0.71"
"","Jonathan Bornstein","CHI","2020","FB","1258","4","3","1","0.13","0.47","0.87","6","1","0.73","0.27","0.86","1.06","0.12"
"","Krisztián Németh","CLB","2020","ST","214","3","1","1","0.85","-0.27","0.15","0","0","0.00","0.00","0.85","1.37","0.98"
"","Andy Rose","VAN","2020","CB","941","4","2","0","0.25","-0.00","-0.25","2","1","0.59","0.41","0.84","0.00","0.15"
"","Fanendo Adi","CLB","2020","ST","241","5","1","0","0.81","-0.32","-0.81","1","0","0.03","-0.03","0.84","0.00","0.89"
"","Dom Dwyer","ORL","2020","ST","132","1","0","0","0.05","-0.05","-0.05","1","1","0.79","0.21","0.84","0.00","0.03"
"","Kyle Beckerman","RSL","2020","DM","437","4","1","0","0.34","-0.29","-0.34","2","0","0.49","-0.49","0.83","0.00","0.22"
"","Marcos López","SJE","2020","FB","1064","7","4","2","0.22","0.09","1.78","13","1","0.61","0.39","0.83","1.21","0.12"
"","Ballou Tabla","MTL","2020","ST","126","6","2","1","0.83","0.07","0.17","0","0","0.00","0.00","0.83","0.06","0.25"
"","Dario Zuparic","POR","2020","CB","1772","4","4","0","0.74","0.45","-0.74","4","0","0.09","-0.09","0.83","0.00","0.45"
"","Justin Rennicks","NER","2020","W","53","2","0","0","0.64","-0.64","-0.64","1","0","0.18","-0.18","0.82","0.00","1.11"
"","Tomás Martínez","HOU","2020","CM","400","7","1","0","0.79","-0.69","-0.79","1","0","0.03","-0.03","0.82","0.00","0.36"
"","Maikel van der Werff","CIN","2020","CB","1073","7","1","0","0.82","-0.32","-0.82","0","0","0.00","0.00","0.82","0.00","0.71"
"","Henry Kessler","NER","2020","CB","1997","12","2","1","0.70","-0.11","0.30","2","0","0.12","-0.12","0.81","0.72","0.40"
"","Rudy Camacho","MTL","2020","CB","1306","7","1","1","0.61","0.25","0.39","3","0","0.19","-0.19","0.81","0.60","0.36"
"","Júnior Moreno","DCU","2020","CM","1907","10","3","0","0.34","-0.22","-0.34","13","1","0.45","0.55","0.79","0.00","0.16"
"","James Sands","NYC","2020","DM","1539","5","0","0","0.43","-0.43","-0.43","5","1","0.37","0.63","0.79","0.00","0.08"
"","Michael Bradley","TOR","2020","CM","1157","7","2","0","0.56","-0.30","-0.56","6","0","0.23","-0.23","0.79","0.00","0.44"
"","Jukka Raitala","MTL","2020","FB","1475","4","3","0","0.14","0.34","-0.14","5","0","0.65","-0.65","0.79","0.00","0.05"
"","Aleksandar Katai","LAG","2020","W","120","8","0","0","0.65","-0.65","-0.65","1","0","0.14","-0.14","0.79","0.00","0.37"
"","Matías Vera","HOU","2020","DM","1840","9","2","0","0.33","0.03","-0.33","14","0","0.46","-0.46","0.79","0.00","0.30"
"","Luis Binks","MTL","2020","CB","1942","10","1","0","0.63","-0.56","-0.63","1","0","0.16","-0.16","0.79","0.00","0.36"
