"","Player","Team","Season","Position","Minutes","Dribbling","Fouling","Interrupting","Passing","Receiving","Shooting","Goals Added"
"","Marlon Hairston","MIN","2020","DM","452","-0.19","0.07","0.24","-0.18","-0.08","0.01","-0.13"
"","Omir Fernandez","NYRB","2020","W","652","-0.24","-0.02","-0.04","-0.46","0.44","0.18","-0.14"
"","Carlos Terán","CHI","2020","CB","30","-0.02","0.00","-0.11","-0.01","0.00","0.01","-0.14"
"","Cole Bassett","COL","2020","AM","1062","-0.06","-0.07","0.07","-0.75","0.60","0.07","-0.14"
"","Moses Nyeman","DCU","2020","CM","564","-0.01","-0.08","0.41","-0.28","-0.17","-0.02","-0.14"
"","Aidan Morris","CLB","2020","DM","434","0.04","0.01","0.26","-0.26","-0.14","-0.05","-0.14"
"","Ralph Priso-Mbongue","TOR","2020","DM","171","0.04","0.01","0.00","-0.14","-0.02","-0.02","-0.14"
"","Brian White","NYRB","2020","ST","954","-0.27","-0.11","0.34","-0.59","0.52","-0.03","-0.14"
"","Alistair Johnston","NSH","2020","FB","1474","-0.19","-0.02","0.27","-0.08","-0.12","0.00","-0.15"
"","Santiago Mosquera","FCD","2020","W","463","0.17","-0.02","-0.13","-0.10","-0.09","0.03","-0.15"
"","Cristian Cásseres Jr","NYRB","2020","CM","1440","0.08","-0.02","0.23","-0.04","-0.30","-0.10","-0.15"
"","Auston Trusty","COL","2020","CB","589","0.22","0.05","-0.49","0.15","-0.21","0.12","-0.15"
"","Jalil Anibaba","NSH","2020","FB","648","-0.07","0.03","0.05","-0.09","-0.11","0.04","-0.16"
"","Randall Leal","NSH","2020","W","1697","-0.11","-0.07","0.83","0.20","-0.80","-0.20","-0.16"
"","Matheus Aias","ORL","2020","ST","36","-0.05","-0.00","0.03","-0.07","0.00","-0.08","-0.17"
"","Sam Johnson","RSL","2020","ST","383","-0.01","-0.06","-0.11","-0.10","0.19","-0.07","-0.17"
"","Jackson Yueill","SJE","2020","CM","2023","0.03","0.01","0.22","-0.20","-0.15","-0.08","-0.17"
