,player,club,age,join_age,usd,Season,Goals Added,name,Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,GWG,PKG/A,HmG,RdG,G/90min,SC%
234,Y. Kubo,FC Cincinnati,27.0,26.0,1180000.0,2020.0,-2.38,Yuya Kubo,Yuya Kubo,CIN,F,19.0,15.0,1284.0,3.0,0.0,19.0,7.0,1.0,1/1,2.0,1.0,0.21,15.8
235,B. Vázquez,FC Cincinnati,22.0,21.0,531000.0,2020.0,-1.07,Brandon Vazquez,Brandon Vazquez,CIN,F,19.0,8.0,774.0,2.0,2.0,23.0,9.0,0.0,0/0,1.0,1.0,0.23,8.7
236,F. Kovacevic,FC Cincinnati,21.0,21.0,236000.0,2020.0,0.09,Franko Kovacevic,Franko Kovacevic,CIN,F,1.0,1.0,90.0,0.0,0.0,3.0,1.0,0.0,0/0,0.0,0.0,0.0,0.0
237,H. Kessler,New England Revolution,22.0,21.0,1180000.0,2020.0,0.69,Henry Kessler,Henry Kessler,NE,D,22.0,19.0,1823.0,1.0,0.0,12.0,2.0,0.0,0/0,1.0,0.0,0.05,8.3
238,D. Jones,New England Revolution,23.0,21.0,944000.0,2020.0,1.14,DeJuan Jones,DeJuan Jones,NE,D,18.0,13.0,1134.0,0.0,0.0,7.0,5.0,0.0,0/0,0.0,0.0,0.0,0.0
239,A. Farrell,New England Revolution,29.0,20.0,1180000.0,2020.0,-0.36,Andrew Farrell,Andrew Farrell,NE,D,20.0,19.0,1711.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0
240,B. Bye,New England Revolution,25.0,22.0,944000.0,2020.0,-0.02,Brandon Bye,Brandon Bye,NE,D,22.0,18.0,1636.0,0.0,1.0,13.0,2.0,0.0,0/0,0.0,0.0,0.0,0.0
241,M. Polster,New England Revolution,27.0,27.0,944000.0,2020.0,0.15,Matt Polster,Matt Polster,NE,D,15.0,8.0,756.0,0.0,2.0,2.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0
242,S. Caldwell,New England Revolution,29.0,21.0,944000.0,2020.0,-0.4,Scott Caldwell,Scott Caldwell,NE,M,18.0,15.0,1155.0,0.0,0.0,2.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0
243,E. Boateng,New England Revolution,27.0,26.0,708000.0,2020.0,0.16,Emmanuel Boateng,Emmanuel Boateng,NE,M,10.0,3.0,323.0,0.0,1.0,3.0,1.0,0.0,0/0,0.0,0.0,0.0,0.0
